DEPTH,NPHI,RHOB,SGR(=GR),COREFACIES,PHIH,PHIV,MARKERS,PHIE,SWE,VSH,POTA,LOGKH,LOGKV
3409.2,0.132,2.333,39.88,0.0,,,,17.63,0.857,0.0,0.225,,
3409.4,0.134,2.33,41.824,0.0,,,,17.82,0.834,0.0,0.23,,
3409.6,0.136,2.333,44.896,0.0,,,,17.8,0.822,0.0,0.24,,
3409.8,0.13,2.369,47.968,0.0,,,,15.67,0.859,0.039,0.25,,
3410.0,0.124,2.425,52.485,0.0,2.1,4.7,,12.28,0.95,0.109,0.261,-1.222,-2.0
3410.2,0.129,2.595,55.34,0.0,,,,1.82,1.0,0.376,0.268,,
3410.4,0.134,2.691,57.656,0.0,,,,0.0,1.0,0.391,0.275,,
3410.5,,,,,2.4,,,,,,,-1.699,
3410.6,0.138,2.691,59.972,0.0,,,,0.0,1.0,0.404,0.306,,
3410.8,0.142,2.66,67.062,0.0,,,,0.06,1.0,0.417,0.336,,
3411.0,0.147,2.61,68.234,0.0,8.5,,,1.95,0.821,0.401,0.367,-0.347,
3411.2,0.143,2.57,69.406,0.0,,,,3.25,0.697,0.387,0.371,,
3411.4,0.139,2.541,70.39,0.0,,,,4.88,0.609,0.343,0.376,,
3411.5,,,,,8.5,,,,,,,-0.367,
3411.6,0.141,2.54,71.375,0.0,,,,4.91,0.608,0.347,0.38,,
3411.8,0.146,2.548,72.359,0.0,,,,4.36,0.618,0.373,0.385,,
3412.0,0.145,2.552,72.082,0.0,8.9,9.0,,4.12,0.639,0.377,0.385,-0.745,-1.046
3412.2,0.144,2.556,71.804,0.0,,,,3.88,0.661,0.38,0.385,,
3412.4,0.143,2.549,71.748,0.0,,,,4.32,0.653,0.366,0.385,,
3412.5,,,,,6.5,,,,,,,-0.886,
3412.6,0.147,2.565,71.692,0.0,,,,3.51,0.684,0.39,0.389,,
3412.8,0.151,2.58,73.655,0.0,,,,3.32,0.696,0.39,0.393,,
3413.0,0.146,2.598,75.88,0.0,4.8,,,2.56,0.753,0.389,0.397,-0.959,
3413.2,0.142,2.616,75.169,0.0,,,,1.8,0.82,0.389,0.38,,
3413.4,0.122,2.635,71.137,0.0,,,,0.89,0.976,0.35,0.363,,
3413.5,,,,,2.1,,,,,,,-1.699,
3413.6,0.101,2.665,61.319,0.0,,,,0.31,1.0,0.283,0.346,,
3413.8,0.088,2.695,56.479,0.0,,,,0.0,1.0,0.239,0.328,,
3414.0,0.079,2.72,54.248,0.0,2.2,1.9,,0.0,1.0,0.212,0.31,-2.0,-2.0
3414.2,0.071,2.726,52.016,0.0,,,,0.0,1.0,0.183,0.299,,
3414.4,0.074,2.728,51.387,0.0,,,,0.0,1.0,0.193,0.288,,
3414.5,,,,,2.3,,,,,,,-1.699,
3414.6,0.077,2.731,50.758,0.0,,,,0.0,1.0,0.204,0.282,,
3414.8,0.091,2.742,50.129,0.0,,,,0.0,1.0,0.25,0.287,,
3415.0,0.104,2.741,52.943,0.0,2.0,,,0.5,1.0,0.252,0.291,-1.699,
3415.2,0.115,2.74,55.758,0.0,,,,1.0,0.763,0.254,0.311,,
3415.4,0.127,2.717,65.424,0.0,,,,1.6,0.706,0.272,0.331,,
